date,vnindex,market_liquidity,liquidity_source,volume
2026-04-08,1756.55,1256696748,volume_proxy,1256696748
2026-04-09,1736.68,1063878313,volume_proxy,1063878313
2026-04-10,1750.0,961774684,volume_proxy,961774684
2026-04-13,1758.96,880376868,volume_proxy,880376868
2026-04-14,1775.65,889353867,volume_proxy,889353867
2026-04-15,1800.65,948695415,volume_proxy,948695415
2026-04-16,1819.83,1000724970,volume_proxy,1000724970
2026-04-17,1817.17,742281201,volume_proxy,742281201
2026-04-20,1837.11,690090096,volume_proxy,690090096
2026-04-21,1833.48,866640210,volume_proxy,866640210
2026-04-22,1857.3,708137323,volume_proxy,708137323
2026-04-23,1870.36,1030969130,volume_proxy,1030969130
2026-04-24,1853.29,673852010,volume_proxy,673852010
2026-04-28,1875.84,629723569,volume_proxy,629723569
2026-04-29,1854.1,722302348,volume_proxy,722302348
2026-05-04,1854.06,692675996,volume_proxy,692675996
2026-05-05,1870.54,311311400,volume_proxy,311311400
