date,vnindex,market_liquidity,liquidity_source,volume
2025-10-21,1663.43,1583235455,volume_proxy,1583235455
2025-10-22,1678.5,995959634,volume_proxy,995959634
2025-10-23,1687.06,753331212,volume_proxy,753331212
2025-10-24,1683.18,952237808,volume_proxy,952237808
2025-10-27,1652.54,969578406,volume_proxy,969578406
2025-10-28,1680.5,933803962,volume_proxy,933803962
2025-10-29,1685.83,898809223,volume_proxy,898809223
2025-10-30,1669.57,796977133,volume_proxy,796977133
2025-10-31,1639.65,846392672,volume_proxy,846392672
2025-11-03,1617.0,1012509465,volume_proxy,1012509465
2025-11-04,1651.98,1198941757,volume_proxy,1198941757
2025-11-05,1654.89,662264267,volume_proxy,662264267
2025-11-06,1642.64,583918596,volume_proxy,583918596
2025-11-07,1599.1,846874733,volume_proxy,846874733
2025-11-10,1580.54,733963463,volume_proxy,733963463
2025-11-11,1593.61,664598578,volume_proxy,664598578
2025-11-12,1631.86,757596568,volume_proxy,757596568
2025-11-13,1631.44,699139664,volume_proxy,699139664
2025-11-14,1635.46,703912296,volume_proxy,703912296
2025-11-17,1654.42,766684998,volume_proxy,766684998
2025-11-18,1659.92,773781151,volume_proxy,773781151
2025-11-19,1649.0,850211293,volume_proxy,850211293
2025-11-20,1655.99,681094934,volume_proxy,681094934
2025-11-21,1654.93,730536641,volume_proxy,730536641
2025-11-24,1667.98,576494405,volume_proxy,576494405
2025-11-25,1660.36,912568955,volume_proxy,912568955
2025-11-26,1680.36,794445051,volume_proxy,794445051
2025-11-27,1684.32,714132340,volume_proxy,714132340
2025-11-28,1690.99,723199925,volume_proxy,723199925
2025-12-01,1701.67,633506422,volume_proxy,633506422
2025-12-02,1717.06,693931904,volume_proxy,693931904
2025-12-03,1731.77,822614056,volume_proxy,822614056
2025-12-04,1737.24,894123127,volume_proxy,894123127
2025-12-05,1741.32,658094976,volume_proxy,658094976
2025-12-08,1753.74,740943400,volume_proxy,740943400
2025-12-09,1747.17,973849509,volume_proxy,973849509
2025-12-10,1718.98,647038643,volume_proxy,647038643
2025-12-11,1698.9,592555601,volume_proxy,592555601
2025-12-12,1646.89,919272724,volume_proxy,919272724
2025-12-15,1646.01,684864300,volume_proxy,684864300
2025-12-16,1679.18,832044428,volume_proxy,832044428
2025-12-17,1673.66,612255424,volume_proxy,612255424
2025-12-18,1676.98,677428400,volume_proxy,677428400
2025-12-19,1704.31,776738534,volume_proxy,776738534
2025-12-22,1751.03,980004438,volume_proxy,980004438
2025-12-23,1772.15,859542980,volume_proxy,859542980
2025-12-24,1782.82,808080310,volume_proxy,808080310
2025-12-25,1742.85,830259375,volume_proxy,830259375
2025-12-26,1729.8,1081379964,volume_proxy,1081379964
2025-12-29,1754.84,681132121,volume_proxy,681132121
2025-12-30,1766.9,639630103,volume_proxy,639630103
2025-12-31,1784.49,704538818,volume_proxy,704538818
2026-01-05,1788.4,870442791,volume_proxy,870442791
2026-01-06,1816.27,956959249,volume_proxy,956959249
2026-01-07,1861.58,1014370947,volume_proxy,1014370947
2026-01-08,1855.56,1262265120,volume_proxy,1262265120
2026-01-09,1867.9,1300275020,volume_proxy,1300275020
2026-01-12,1877.33,1380092734,volume_proxy,1380092734
2026-01-13,1902.93,1343676537,volume_proxy,1343676537
2026-01-14,1894.44,1423913258,volume_proxy,1423913258
2026-01-15,1864.8,1237786766,volume_proxy,1237786766
2026-01-16,1879.13,1021323506,volume_proxy,1021323506
2026-01-19,1896.59,1163188480,volume_proxy,1163188480
2026-01-20,1893.78,1078094824,volume_proxy,1078094824
2026-01-21,1885.44,1204631813,volume_proxy,1204631813
2026-01-22,1882.73,1058940345,volume_proxy,1058940345
2026-01-23,1870.79,888764058,volume_proxy,888764058
2026-01-26,1843.72,1112553302,volume_proxy,1112553302
2026-01-27,1830.5,788848818,volume_proxy,788848818
2026-01-28,1802.91,1046874107,volume_proxy,1046874107
2026-01-29,1814.98,723177476,volume_proxy,723177476
2026-01-30,1829.04,877814543,volume_proxy,877814543
2026-02-02,1806.5,973917373,volume_proxy,973917373
2026-02-03,1813.4,985977888,volume_proxy,985977888
2026-02-04,1791.43,1053888972,volume_proxy,1053888972
2026-02-05,1782.56,739892290,volume_proxy,739892290
2026-02-06,1755.49,1133423406,volume_proxy,1133423406
2026-02-09,1754.82,726411658,volume_proxy,726411658
2026-02-10,1754.03,920697778,volume_proxy,920697778
2026-02-11,1796.85,1146844032,volume_proxy,1146844032
2026-02-12,1814.09,501048660,volume_proxy,501048660
2026-02-13,1824.09,608586792,volume_proxy,608586792
2026-02-23,1860.14,756872733,volume_proxy,756872733
2026-02-24,1867.62,1002135553,volume_proxy,1002135553
2026-02-25,1860.91,1156532827,volume_proxy,1156532827
2026-02-26,1879.64,891033680,volume_proxy,891033680
2026-02-27,1880.33,927701241,volume_proxy,927701241
2026-03-02,1846.1,1548149985,volume_proxy,1548149985
2026-03-03,1813.14,1303657670,volume_proxy,1303657670
2026-03-04,1818.27,1574263001,volume_proxy,1574263001
2026-03-05,1808.51,1126642399,volume_proxy,1126642399
2026-03-06,1767.84,1030298190,volume_proxy,1030298190
2026-03-09,1652.79,1380753348,volume_proxy,1380753348
2026-03-10,1676.73,1537511997,volume_proxy,1537511997
2026-03-11,1728.34,997255862,volume_proxy,997255862
2026-03-12,1709.61,956735297,volume_proxy,956735297
2026-03-13,1696.24,1023068442,volume_proxy,1023068442
2026-03-16,1693.21,873491825,volume_proxy,873491825
2026-03-17,1710.29,887474546,volume_proxy,887474546
2026-03-18,1713.83,840316740,volume_proxy,840316740
2026-03-19,1699.13,881126066,volume_proxy,881126066
2026-03-20,1647.81,961235269,volume_proxy,961235269
2026-03-23,1591.17,1103087120,volume_proxy,1103087120
2026-03-24,1614.77,771713376,volume_proxy,771713376
2026-03-25,1658.19,892224038,volume_proxy,892224038
2026-03-26,1644.63,806689659,volume_proxy,806689659
2026-03-27,1672.8,940097294,volume_proxy,940097294
2026-03-30,1662.54,824732178,volume_proxy,824732178
2026-03-31,1674.49,929691249,volume_proxy,929691249
2026-04-01,1702.93,943330209,volume_proxy,943330209
2026-04-02,1694.82,888151216,volume_proxy,888151216
2026-04-03,1684.04,772311754,volume_proxy,772311754
2026-04-06,1674.99,667956408,volume_proxy,667956408
2026-04-07,1677.54,612450752,volume_proxy,612450752
